timestamp,close,high,low,trade_count,open,volume,vwap
2016-01-04 05:00:00+00:00,201.0192,201.03,198.59,655489,200.49,225903783,199.753436
2016-01-05 05:00:00+00:00,201.36,201.9,200.05,418709,201.405,112719152,201.08538
2016-01-06 05:00:00+00:00,198.82,200.06,197.6,548386,198.33,153948196,198.839872
2016-01-07 05:00:00+00:00,194.05,197.44,193.59,796451,195.33,216191953,195.202134
2016-01-08 05:00:00+00:00,191.923,195.85,191.58,754102,195.19,216105404,193.673322
2016-01-11 05:00:00+00:00,192.11,193.41,189.82,701548,193.01,205368067,191.73331
2016-01-12 05:00:00+00:00,193.6608,194.55,191.14,635749,193.82,175844276,192.886175
2016-01-13 05:00:00+00:00,188.83,194.86,188.38,812694,194.45,223632834,191.02704
2016-01-14 05:00:00+00:00,191.93,193.26,187.66,824320,189.55,243821116,190.932282
2016-01-15 05:00:00+00:00,187.81,188.76,185.52,1104776,186.77,333774073,187.392956
2016-01-19 05:00:00+00:00,188.06,190.11,186.2,700807,189.96,207102007,188.292481
2016-01-20 05:00:00+00:00,185.65,187.495,181.02,1102479,185.03,293247287,184.047582
2016-01-21 05:00:00+00:00,186.69,188.87,184.64,805415,186.21,199821181,187.015691
2016-01-22 05:00:00+00:00,190.52,190.76,188.88,613543,189.78,171389049,189.957634
2016-01-25 05:00:00+00:00,187.64,190.15,187.41,489715,189.93,135298156,188.906784
2016-01-26 05:00:00+00:00,190.2,190.53,188.02,498828,188.42,143190788,189.66909
2016-01-27 05:00:00+00:00,188.13,191.56,187.06,744100,189.58,189479992,189.290563
2016-01-28 05:00:00+00:00,189.11,190.2,187.16,618989,189.96,145256707,188.96069
2016-01-29 05:00:00+00:00,193.7208,193.88,189.88,637145,190.01,226671934,192.41367
2016-02-01 05:00:00+00:00,193.65,194.58,191.84,488411,192.53,139106693,193.202223
2016-02-02 05:00:00+00:00,190.16,191.97,189.54,575174,191.96,183818148,190.665085
2016-02-03 05:00:00+00:00,191.3,191.78,187.1,885130,191.41,206689208,189.533173
2016-02-04 05:00:00+00:00,191.6,192.75,189.96,638013,190.71,140494107,191.286811
2016-02-05 05:00:00+00:00,187.95,191.6696,187.2,666599,190.99,183498109,188.62584
2016-02-08 05:00:00+00:00,185.42,186.12,182.8,769589,185.77,193210895,184.364566
2016-02-09 05:00:00+00:00,185.43,186.94,183.2,786774,183.36,187349355,185.058705
2016-02-10 05:00:00+00:00,185.27,188.34,185.12,657626,186.41,149270874,186.662159
2016-02-11 05:00:00+00:00,182.86,184.1,181.09,877027,182.34,220503168,182.644101
2016-02-12 05:00:00+00:00,186.63,186.65,183.96,521864,184.96,132827109,185.601668
2016-02-16 05:00:00+00:00,189.78,189.81,187.63,447874,188.77,124806967,189.045341
2016-02-17 05:00:00+00:00,192.88,193.32,191.01,531583,191.17,137936059,192.458324
2016-02-18 05:00:00+00:00,192.09,193.27,191.72,459680,193.2,103630950,192.358563
2016-02-19 05:00:00+00:00,192.0,192.18,190.45,424661,191.17,117844861,191.522214
2016-02-22 05:00:00+00:00,194.78,194.95,193.79,360507,193.87,110378274,194.558829
2016-02-23 05:00:00+00:00,192.32,194.32,192.18,434602,193.99,112962491,192.984896
2016-02-24 05:00:00+00:00,193.2,193.53,189.32,588124,190.63,159573885,191.410962
2016-02-25 05:00:00+00:00,195.54,195.55,192.83,417790,193.73,114169518,194.246745
2016-02-26 05:00:00+00:00,195.0892,196.68,194.9,461021,196.57,133322130,195.707545
2016-02-29 05:00:00+00:00,193.35,196.23,193.33,428044,195.11,130754750,194.75753
2016-03-01 05:00:00+00:00,198.11,198.21,194.4542,495960,195.01,149240057,196.920446
2016-03-02 05:00:00+00:00,199.0,199.06,197.25,424659,197.74,105710824,198.181068
2016-03-03 05:00:00+00:00,199.775,199.795,198.11,372930,198.79,99753935,198.974139
2016-03-04 05:00:00+00:00,200.43,201.35,199.03,497772,200.01,130997120,200.291078
2016-03-07 05:00:00+00:00,200.59,201.07,199.25,376260,199.34,103795836,200.16169
2016-03-08 05:00:00+00:00,198.4,199.92,198.21,503031,199.32,130694666,198.963577
2016-03-09 05:00:00+00:00,199.38,199.79,198.43,366554,199.36,99817255,199.211441
2016-03-10 05:00:00+00:00,199.54,201.07,197.38,629939,199.96,162803575,199.085366
2016-03-11 05:00:00+00:00,202.76,210.55,199.5179,426087,201.26,140096982,202.087419
2016-03-14 04:00:00+00:00,202.5,203.04,201.77,297697,202.16,75780385,202.465303
2016-03-15 04:00:00+00:00,202.17,202.5307,201.05,322276,201.36,100377847,201.74184
2016-03-16 04:00:00+00:00,203.34,203.82,201.55,497352,201.6,134058622,202.792213
2016-03-17 04:00:00+00:00,204.63,205.23,202.77,424816,203.24,142855629,204.33736
2016-03-18 04:00:00+00:00,204.38,204.78,203.8,448892,204.18,143516983,204.373264
2016-03-21 04:00:00+00:00,204.67,204.94,203.8,281086,204.07,74822013,204.468116
2016-03-22 04:00:00+00:00,204.56,205.23,203.57,334193,203.76,102471246,204.604048
2016-03-23 04:00:00+00:00,203.2092,204.33,203.01,348025,204.11,82298399,203.652408
2016-03-24 04:00:00+00:00,203.12,203.16,201.74,309977,202.0,87233294,202.527119
2016-03-28 04:00:00+00:00,203.24,203.86,202.705,265041,203.61,65368442,203.316195
2016-03-29 04:00:00+00:00,205.1208,205.25,202.4,370202,202.76,95285880,204.127735
2016-03-30 04:00:00+00:00,206.02,206.87,205.59,336442,206.3,88696267,206.262231
2016-03-31 04:00:00+00:00,205.52,206.41,205.33,330389,205.91,100166636,205.876622
2016-04-01 04:00:00+00:00,206.92,207.14,203.98,396906,204.35,121327177,206.051177
2016-04-04 04:00:00+00:00,206.25,207.07,205.89,249273,206.83,68935505,206.399366
2016-04-05 04:00:00+00:00,204.19,206.2642,203.89,351546,204.67,101675003,204.539341
2016-04-06 04:00:00+00:00,206.42,206.49,203.98,391435,204.29,94201589,205.402711
2016-04-07 04:00:00+00:00,203.95,205.56,203.09,411651,205.14,116797387,204.167771
2016-04-08 04:00:00+00:00,204.4992,205.85,203.87,352141,205.34,100794149,204.81197
2016-04-11 04:00:00+00:00,204.0201,206.07,203.91,326083,205.25,89038432,204.888751
2016-04-12 04:00:00+00:00,205.92,206.25,203.7,381769,204.22,121854818,205.317962
2016-04-13 04:00:00+00:00,208.0008,208.1,206.84,353011,207.0,98621124,207.512365
2016-04-14 04:00:00+00:00,208.01,208.6,207.6,263287,208.07,66100211,208.090061
2016-04-15 04:00:00+00:00,207.78,208.1721,207.4,250756,208.01,81571942,207.81278
2016-04-18 04:00:00+00:00,209.2392,209.28,207.0,268237,207.14,86830877,208.713793
2016-04-19 04:00:00+00:00,209.9,210.2,208.94,324662,209.74,93991305,209.712674
2016-04-20 04:00:00+00:00,210.1,210.92,209.39,266778,209.95,83948233,210.212763
2016-04-21 04:00:00+00:00,208.97,210.25,208.65,294913,210.12,88507080,209.343908
2016-04-22 04:00:00+00:00,208.97,209.29,207.91,298987,208.55,102897804,208.671161
2016-04-25 04:00:00+00:00,208.61,208.66,207.54,249189,208.26,68254384,208.127977
2016-04-26 04:00:00+00:00,208.9192,209.52,208.36,240412,209.04,77760627,208.868953
2016-04-27 04:00:00+00:00,209.35,209.81,208.05,313990,208.47,78644503,208.969592
2016-04-28 04:00:00+00:00,207.4475,209.76,206.96,358902,208.46,100253853,208.390115
2016-04-29 04:00:00+00:00,206.3308,207.13,205.03,478153,206.72,144936158,206.003418
2016-05-02 04:00:00+00:00,207.97,208.18,206.41,263586,206.92,64747229,207.342533
2016-05-03 04:00:00+00:00,206.1592,206.8,205.28,377523,206.52,108050343,206.047375
2016-05-04 04:00:00+00:00,205.01,205.85,204.42,345266,204.99,94995641,205.039602
2016-05-05 04:00:00+00:00,204.97,205.98,204.47,280626,205.56,68425268,205.133936
2016-05-06 04:00:00+00:00,205.72,205.77,203.88,340162,204.06,90999800,204.909615
2016-05-09 04:00:00+00:00,205.8892,206.4,205.36,263992,205.55,77473702,205.914146
2016-05-10 04:00:00+00:00,208.45,208.5,206.64,267370,206.69,83146025,207.855943
2016-05-11 04:00:00+00:00,206.5,208.54,206.5,295515,207.91,83432071,207.320478
2016-05-12 04:00:00+00:00,206.56,207.4899,205.37,344299,207.29,91887593,206.419633
2016-05-13 04:00:00+00:00,204.76,206.86,204.38,359052,206.21,98435290,205.550659
2016-05-16 04:00:00+00:00,206.78,207.34,204.89,286053,204.96,83103119,206.454012
2016-05-17 04:00:00+00:00,204.8508,206.8,204.23,415428,206.46,116888072,205.340012
